;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Movimento";"Movimento";"Saldo Atual"
;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Débito";"Crédito";"Saldo Atual"
"Executivo - 10111";"1";"500";"100";"Recursos não Vinculados de Impostos";"000000";41342186976,48;42502213,89;1080980362,66;42380665125,25
"Executivo - 10111";"1";"500";"107";"Recursos não Vinculados de Impostos";"000000";3055008608,32;0;0;3055008608,32
"Executivo - 10111";"1";"500";"148";"Recursos não Vinculados de Impostos";"000000";126169816,79;122448,03;3370679,23;129418047,99
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"000000";1162997216,3;332460,78;8144033,24;1170808788,76
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"000015";32151387,93;0;0;32151387,93
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"001654";64,98;0;0;64,98
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"001674";577,74;0;0;577,74
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"004224";593,91;0;0;593,91
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"006193";59,54;0;0;59,54
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"007382";110896,2;0;0;110896,2
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"007882";0;0;0;0
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"210080";2972,68;0;0;2972,68
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"220120";488,97;0;0;488,97
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"230004";3338,94;573,3;573,3;3338,94
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"230029";22333,29;0;0;22333,29
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"230082";4,17;0;0;4,17
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"240002";500,63;0;0;500,63
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"250006";2692,96;0;0;2692,96
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"250014";20144,96;0;0;20144,96
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"250215";315,65;0;0;315,65
"Executivo - 10111";"1";"501";"101";"Outros Recursos não Vinculados";"370300";20014203,77;0;0;20014203,77
"Executivo - 10111";"1";"501";"108";"Outros Recursos não Vinculados";"000000";1832647087,11;1414120,71;86432391,53;1917665357,93
